area_feasible,area_alone,proportion,convex,feasibility,distance,detection,parameter,vero_model,trcy_model,environment
86172.94045799879,150579.18066204994,0.5722765928139807,0,1,0.9507871095411737,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86003.89281836069,150579.18066204994,0.5711539433288736,0,1,1.5015365931386273,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85860.47776189663,150579.18066204994,0.5702015204518629,0,1,0.8853848563169278,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85879.2400374627,150579.18066204994,0.5703261211800883,0,1,0.86776015431558,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86052.70099888489,150579.18066204994,0.5714780796424702,0,1,0.9535969781916811,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86217.0788054189,150579.18066204994,0.5725697166523895,0,1,1.651383554002722,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86073.5736527683,150579.18066204994,0.5716166954444134,0,1,0.5752784564377817,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85380.41119435095,150579.18066204994,0.5670133867043224,0,0,-1.7822120186489605,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85560.68920870907,150579.18066204994,0.5682106173810035,0,1,0.9716875488506276,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85896.61316501636,150579.18066204994,0.5704414965425871,0,1,0.5642583904817156,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85823.9240563884,150579.18066204994,0.5699587664048059,0,0,-2.070532331594369,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86264.38275269461,150579.18066204994,0.5728838633164086,0,0,-0.6364162953104036,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85966.4380910382,150579.18066204994,0.5709052055740405,0,0,-0.717218660060293,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86133.74964925276,150579.18066204994,0.5720163257002022,0,1,0.8293653744452807,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86287.07466751013,150579.18066204994,0.5730345608744358,0,1,0.28879203470262604,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85646.49099802026,150579.18066204994,0.5687804291500274,0,1,0.3212046478599917,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86162.3303321015,150579.18066204994,0.5722061307099193,0,1,1.5024944276485797,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85955.32562171415,150579.18066204994,0.5708314073950678,0,1,0.5224810544983756,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85894.01825880959,150579.18066204994,0.5704242637073746,0,1,1.2900990879643934,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85865.81412181123,150579.18066204994,0.5702369593478055,0,1,0.021128852808237092,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86243.24150098934,150579.18066204994,0.5727434637497997,0,0,-2.889504897413852,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85989.29660057068,150579.18066204994,0.5710570094916337,0,0,-1.712399685899498,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85990.41856065924,150579.18066204994,0.5710644604558615,0,1,1.029542315264656,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86140.89861954442,150579.18066204994,0.5720638021857312,0,1,1.3179006790340297,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86187.47732399777,150579.18066204994,0.5723731324945333,0,1,1.4171462676901885,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86180.58135658732,150579.18066204994,0.57232733620729,0,1,1.4011486892881448,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85938.50538318633,150579.18066204994,0.5707197037820327,0,1,0.3596759509810341,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86182.84271405637,150579.18066204994,0.5723423539372252,0,1,0.6816485360847153,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85391.82451728875,150579.18066204994,0.567089182859459,0,1,1.2565943779343343,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85986.07045502705,150579.18066204994,0.5710355845806371,0,1,0.48327566284343604,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86047.89829982066,150579.18066204994,0.5714461848012106,0,1,0.6476957651669828,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86107.71896592308,150579.18066204994,0.5718434552992927,0,1,0.22112167834792285,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86161.83076320819,150579.18066204994,0.5722028130607522,0,1,0.009851621572873004,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86220.35426800554,150579.18066204994,0.5725914690790679,0,1,1.1811416422638832,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85662.28974073255,150579.18066204994,0.5688853489845146,0,1,0.2531717058068974,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86185.38304230846,150579.18066204994,0.5723592243189136,0,0,-0.560947398848616,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85512.30817533698,150579.18066204994,0.5678893177620299,0,0,-1.3461690958563652,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85998.59445550804,150579.18066204994,0.5711187567723433,0,0,-2.3115225009223694,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85883.32215215286,150579.18066204994,0.5703532306029993,0,0,-3.5268520794487097,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85713.08036993808,150579.18066204994,0.5692226507880057,0,1,0.5876890004144126,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85802.13383130977,150579.18066204994,0.5698140569902452,0,1,0.1635789788345008,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85524.75514294519,150579.18066204994,0.5679719783765549,0,1,1.5705404481900125,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86444.81928503513,150579.18066204994,0.5740821467148651,0,1,0.8637482679680897,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86063.10697894322,150579.18066204994,0.5715471860090514,0,1,0.45100211500625687,1,lambda_i,Beverton-Holt,Beverton-Holt,open
85433.94285833242,150579.18066204994,0.5673688917864068,0,1,5.485947003196957,1,lambda_i,Beverton-Holt,Beverton-Holt,open
86247.10789994744,150579.18066204994,0.5727691405992891,0,1,0.6577218473068225,1,lambda_i,Beverton-Holt,Beverton-Holt,open
