Omega_saavedraa_mean,theta_saavedra_mean,feasibility_saavedra_mean,proportion_mean,area_mean,area_alone_mean,distance_mean,feasibility_mean,R_mean,convex_mean,detection_mean,Omega_saavedra,theta_saavedra,feasibility_saavedra,proportion,area,area_alone,distance,feasibility,Radius,convex,detection,r1,r2,alpha11,alpha21,alpha12,alpha22,vero_model,trcy_model,environment
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.5632616794448425,8.976729716885202,1,0.5165490652993575,85663.38916298392,165837.8553319792,0.07788525206134267,1,726.9412142082821,0,1,5.946950582682558,26.913921127804855,0.040422777360314126,0.0605243989664617,0.012069741890104974,0.07505685556132631,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.48378378398100763,4.283639369788552,1,0.6290904637353144,75360.25539917394,119792.39830105145,3.0042898024261864,1,682.4882879504621,0,1,3.487472943594021,27.610348190076003,0.02934503528209568,0.059494831516175926,-0.004291962098963414,0.07468398220515167,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-1.0851159055365582,1.7805537198106642,1,0.5106948895616374,24902.206121020314,48761.416317276045,0.03666596055685467,1,694.0742626731752,0,1,4.709473996716781,30.426224259794395,0.013988048502533502,0.07390829218435666,0.003698424990630448,0.06377522875982927,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-2.333061692212676,3.6312762827859104,0,0.05394484532225659,1592.040809006939,29512.3806453866,-1.7616617092426368,0,730.2951340537167,0,1,4.76546231374616,28.821120429887987,0.008703793867786592,0.08328056830653958,0.006026085747268476,0.062033814874986604,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.9919285466983215,2.300332997199706,1,0.5396524142646484,30366.661524454976,56270.77860076616,1.0370976985408031,1,749.7066768298145,0,1,4.413460651293125,29.527999155422208,0.011765589244640539,0.06176535721340196,0.0024687404089339697,0.08749879759491602,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.43504640621197244,10.46240383962972,1,0.7221141050129368,188206.01536545795,260631.96115257463,0.42692589636497935,1,880.2474223346704,0,1,5.794218125088332,32.489104620853695,0.06825835502321749,0.09025256944439801,0.004944215548056715,0.06985615812168718,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.48960041865215553,8.567252479665482,1,0.7147332132505712,148635.01037434585,207958.7286819388,3.054309618875204,1,836.44614692254,0,1,5.226391621689222,32.562876835483,0.055467598028901555,0.0878745763442614,0.0037273052371138366,0.06859155320264604,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.5591733946566898,9.85304649955447,1,0.5548918184713224,104748.55634704506,188772.93349831327,0.16157709453235736,1,785.4536139339533,0,1,6.086227802021852,33.16812612337825,0.04508060932860581,0.07030504592386742,0.01053955757615084,0.07660952863959557,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.5803924438136968,7.437476281206512,1,0.5611083683079757,58593.011386357684,104423.69904951715,2.0999629786375476,1,600.1632835730728,0,1,5.9027969966544065,28.726227043118296,0.03281431838541535,0.054883582765671936,0.007379332898232452,0.05821950770694522,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.67580002038638,15.519859281900374,0,0.4502180078981544,77524.30381532629,172192.80982839622,-5.758859916397142,0,753.6868562860794,0,1,5.506277055191333,30.326474428760765,0.05134104202234358,0.07250094753353271,0.017963243915982193,0.06135969285084059,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.47873527646349345,7.066525857500837,1,0.6663792135771041,114551.53566268695,171901.42388712527,3.7431156702527932,1,743.5572781613308,0,1,5.201981484278936,28.85159393599389,0.04340488642639546,0.06884161168535709,0.0029644264099717363,0.07245588957829081,Beverton-Holt,Beverton-Holt,open
-0.544466448225802,11.282145941643234,1,0.569071856846115,85690.37394171937,150579.18066204994,1.509938005791728,1,680.1485735344352,0,1,-0.4903560425919137,10.045186732970363,1,0.6039270067530729,129817.75274454737,214956.03159476828,1.0843507946045954,1,795.4641823618477,0,1,6.070533230770462,29.326760459482404,0.05294625042202005,0.07210442735913491,0.009370385378849386,0.07427578824149167,Beverton-Holt,Beverton-Holt,open
