species,plot,species.plot,light/ dark,date plated ,plate #,# seeds,date plated ,notes,week 1,week 2,week 3,week 4,week 5,cotyledons only,emerged-inviable,nongerminant-filled,nongerminant-unfilled,fungus-looked filled,fungus - looked unfilled,date of final count,cut_test_performed
Trachymene cyanopetala,10,Trachymene cyanopetala 10,dark,31/05/2019,429,26,31/05/2019,,-,-,-,-,7,0,1,NA,NA,NA,NA,6/07/2019,n
Trachymene cyanopetala,5,Trachymene cyanopetala 5,dark,31/05/2019,458,25,31/05/2019,,-,-,-,-,9,0,2,14,0,0,0,6/07/2019,y
Trachymene cyanopetala,7,Trachymene cyanopetala 7,dark,31/05/2019,471,24,31/05/2019,,-,-,-,-,2,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,18,Velleia rosea 18,light,30/05/2019,10,25,30/05/2019,,21,21,21,22,22,0,0,0,3,0,1,5/07/2019,y
Velleia rosea,6,Velleia rosea 6,light,30/05/2019,11,25,30/05/2019,,24,24,24,24,24,0,0,1,0,0,0,5/07/2019,y
Velleia rosea,15,Velleia rosea 15,light,30/05/2019,24,24,30/05/2019,,18,19,19,19,19,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,17,Velleia rosea 17,light,30/05/2019,56,25,30/05/2019,,24,24,24,24,24,1,0,0,0,0,0,6/07/2019,y
Velleia rosea,1,Velleia rosea 1,light,30/05/2019,70,24,30/05/2019,,24,24,24,24,24,0,0,0,0,0,0,5/07/2019,y
Velleia rosea,19,Velleia rosea 19,light,30/05/2019,73,24,30/05/2019,,12,17,17,17,18,3,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,3,Velleia rosea 3,light,30/05/2019,98,25,30/05/2019,,21,21,21,23,23,1,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,12,Velleia rosea 12,light,30/05/2019,104,26,30/05/2019,,15,17,18,18,18,1,0,5,2,1,1,5/07/2019,y
Velleia rosea,10,Velleia rosea 10,light,30/05/2019,106,25,30/05/2019,,23,23,23,23,23,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,7,Velleia rosea 7,light,30/05/2019,124,25,30/05/2019,,22,22,22,22,22,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,9,Velleia rosea 9,light,30/05/2019,128,25,30/05/2019,,21,21,21,21,21,0,0,3,1,0,0,6/07/2019,y
Velleia rosea,14,Velleia rosea 14,light,30/05/2019,130,24,30/05/2019,,23,24,24,24,24,0,0,0,0,0,0,5/07/2019,y
Velleia rosea,13,Velleia rosea 13,light,30/05/2019,155,24,30/05/2019,,19,19,19,19,19,0,0,0,5,0,1,5/07/2019,y
Velleia rosea,2,Velleia rosea 2,light,31/05/2019,189,25,31/05/2019,,23,23,23,23,23,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,16,Velleia rosea 16,light,31/05/2019,203,25,31/05/2019,,23,23,23,23,23,1,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,8,Velleia rosea 8,light,31/05/2019,208,26,31/05/2019,,18,18,18,18,19,1,0,4,2,0,1,6/07/2019,y
Velleia rosea,4,Velleia rosea 4,light,31/05/2019,210,25,31/05/2019,,25,25,25,25,25,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,20,Velleia rosea 20,light,31/05/2019,211,24,31/05/2019,,22,22,22,22,22,0,0,1,1,0,1,6/07/2019,y
Velleia rosea,11,Velleia rosea 11,light,31/05/2019,221,24,31/05/2019,,22,22,22,22,22,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,5,Velleia rosea 5,light,31/05/2019,222,24,31/05/2019,,22,22,22,22,22,2,0,0,0,NA,NA,6/07/2019,n
Velleia rosea,17,Velleia rosea 17,dark,31/05/2019,278,24,31/05/2019,,-,-,-,-,1,0,1,20,2,0,0,6/07/2019,y
Velleia rosea,3,Velleia rosea 3,dark,31/05/2019,281,25,31/05/2019,,-,-,-,-,5,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,12,Velleia rosea 12,dark,31/05/2019,291,26,31/05/2019,,-,-,-,-,4,0,0,22,0,0,0,6/07/2019,y
Velleia rosea,11,Velleia rosea 11,dark,31/05/2019,300,25,31/05/2019,,-,-,-,-,9,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,14,Velleia rosea 14,dark,31/05/2019,301,24,31/05/2019,,-,-,-,-,8,0,0,13,3,0,0,5/07/2019,y
Velleia rosea,5,Velleia rosea 5,dark,31/05/2019,314,25,31/05/2019,,-,-,-,-,4,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,18,Velleia rosea 18,dark,31/05/2019,331,25,31/05/2019,,-,-,-,-,15,0,0,8,2,0,0,6/07/2019,y
Velleia rosea,7,Velleia rosea 7,dark,31/05/2019,334,26,31/05/2019,,-,-,-,-,0,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,19,Velleia rosea 19,dark,31/05/2019,345,25,31/05/2019,,-,-,-,-,22,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,15,Velleia rosea 15,dark,31/05/2019,361,25,31/05/2019,,-,-,-,-,2,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,1,Velleia rosea 1,dark,31/05/2019,372,25,31/05/2019,,-,-,-,-,6,0,0,18,1,0,0,6/07/2019,y
Velleia rosea,13,Velleia rosea 13,dark,31/05/2019,376,25,31/05/2019,,-,-,-,-,3,0,0,17,5,0,2,6/07/2019,y
Velleia rosea,4,Velleia rosea 4,dark,31/05/2019,391,24,31/05/2019,,-,-,-,-,1,0,0,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,2,Velleia rosea 2,dark,31/05/2019,399,25,31/05/2019,,-,-,-,-,5,0,1,NA,NA,NA,NA,5/07/2019,n
Velleia rosea,10,Velleia rosea 10,dark,31/05/2019,408,25,31/05/2019,,-,-,-,-,1,0,0,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,6,Velleia rosea 6,dark,31/05/2019,411,24,31/05/2019,,-,-,-,-,7,0,1,14,2,0,0,6/07/2019,y
Velleia rosea,16,Velleia rosea 16,dark,31/05/2019,417,24,31/05/2019,,-,-,-,-,4,0,1,NA,NA,NA,NA,6/07/2019,n
Velleia rosea,20,Velleia rosea 20,dark,31/05/2019,432,25,31/05/2019,,-,-,-,-,0,0,0,25,0,0,0,6/07/2019,y
Velleia rosea,9,Velleia rosea 9,dark,31/05/2019,465,25,31/05/2019,,-,-,-,-,2,1,0,22,0,0,0,6/07/2019,y
Velleia rosea,8,Velleia rosea 8,dark,31/05/2019,466,25,31/05/2019,,-,-,-,-,3,0,0,22,0,0,0,6/07/2019,y
